Agency,Date Added,Project,Name_of_Lo,Street_Num,Address,City,Zipcode,County,Target_Aud,Agency_name,lon,lat,loctype,search_add,CD114FP
3,1/1/2018,Child Care,Forsyth EHS/Head Start,133,Samaritan Drive,Cumming,30040,Forsyth,5 yrs >,HealthMPowers,-84.14729,34.20838,rooftop,"133 Samaritan Drive,Cumming,GA,30040",7
3,1/1/2018,Child Care,Nana's Nook,1706,Scholar Drive,Lawrenceville,30044,Gwinnett,5 yrs >,HealthMPowers,-84.02535,33.9161,rooftop,"1706 Scholar Drive,Lawrenceville,GA,30044",7
3,1/1/2018,after school,Radloff Middle School,3939,Shackleford Rd,Duluth,30096,Gwinnett County,18-May,HealthMPowers,-84.13796,33.9448,range_interpolated,"3939 Shackleford Rd,Duluth,GA,30096",7
3,1/1/2018,after school,Lawrenceville Club,382,Stone Mountain St,Lawrenceville,30045,Gwinnett County,18-May,HealthMPowers,-83.99543,33.94213,rooftop,"382 Stone Mountain St,Lawrenceville,GA,30045",7
3,1/1/2018,Child Care,Mis Pequenos Angeles Family Home Daycare,2600,Treehouse Lane,Lawrenceville,30044,Gwinnett,5 yrs >,HealthMPowers,-84.09634,33.94418,rooftop,"2600 Treehouse Lane,Lawrenceville,GA,30044",7
3,1/1/2018,Child Care,Leysi A. Guarnizo,1039,Legacy Lane,Lawrenceville,30044,Gwinnett,< 5yrs,HealthMPowers,-84.09607,33.9387,rooftop,"1039 Legacy Lane,Lawrenceville,GA,30044",7
3,1/1/2018,Middle School,Radloff,3939,Shackleford Rd,Duluth,30096,Gwinnett,8-Jun,HealthMPowers,-84.13796,33.9448,range_interpolated,"3939 Shackleford Rd,Duluth,GA,30096",7
3,1/1/2018,Child Care,,1039,Legacy Lane,Lawrenceville,30044,Gwinnett,< 5yrs,HealthMPowers,-84.09607,33.9387,rooftop,"1039 Legacy Lane,Lawrenceville,GA,30044",7
3,1/1/2018,Child Care,Easter Seals Norcross,4335,Steve Reynolds Blvd.,Norcross,30093,Gwinnett,< 5yrs,HealthMPowers,-84.14794,33.92504,rooftop,"4335 Steve Reynolds Blvd.,Norcross,GA,30093",7
3,1/1/2018,Child Care,Maria Gloria Sierra,1525,Watercreast Circle,Lawrenceville,30043,Gwinnett,< 5yrs,HealthMPowers,-84.01692,33.98072,rooftop,"1525 Watercreast Circle,Lawrenceville,GA,30043",7
1,5/17/2018,"FT, FTBU, FeT, FTFM, Outreach",Forsyth County Extension,875,Lanier 400 Pkwy,Cumming,30040,Forsyth,7,UGA,-84.12566,34.21107,,"875 Lanier 400 Pkwy,Cumming,GA,30040",7
1,5/17/2018,"FT, FTBU, FeT, FTFM, Outreach",Gwinnett County Extension,750,S. Perry St.,Lawrenceville,30046,Gwinnett,7,UGA,-83.98872,33.94974,,"750 S. Perry St.,Lawrenceville,GA,30046",7
1,1/1/2018,"Food Talk, Food Talk: Better U",Magnolia Room,200,S. Madison Ave. #C,Douglas,31533,Coffee,Adults 18+,UGA,-82.84886,31.50722,rooftop,"200 S. Madison Ave. #C,Douglas,GA,31533",12
1,1/1/2018,"Food Talk, Food Talk: Better U",Concerted Services-Douglas,1115,W. Baker Hwy.,Douglas,31533,Coffee,Adults 18+,UGA,-82.86393,31.50129,rooftop,"1115 W. Baker Hwy.,Douglas,GA,31533",12
1,1/1/2018,"Food Talk, Food Talk: Better U",Coffee High School,159,Trojan Way,Douglas,31533,Coffee,Adults 18+,UGA,-82.86118,31.55223,rooftop,"159 Trojan Way,Douglas,GA,31533",12
1,1/1/2018,"Food Talk, Food Talk: Better U",Wiregrass GED,706,W. Baker Hwy.,Douglas,31533,Coffee,Adults 18+,UGA,-82.85831,31.50094,rooftop,"706 W. Baker Hwy.,Douglas,GA,31533",12
1,1/1/2018,"Food Talk, Food Talk: Better U",Douglas County Senior Center,408,W.Ward St.,Douglas,31533,Coffee,Adults 18+,UGA,-82.85532,31.50877,range_interpolated,"408 W.Ward St.,Douglas,GA,31533",12
2,1/1/2018,,Appling County Headstart,389,E Allen St,Baxley,31513,Appling,Adults 18+,Open Hand Atlanta,-82.3441,31.78668,rooftop,"389 E Allen St,Baxley,GA,31513",12
2,1/1/2018,,Concerted Services Baxley,389,389 E Allen St,Baxley,31513,Appling,"Individuals, Families",Open Hand Atlanta,-82.3441,31.78668,rooftop,"389 E Allen St,Baxley,GA,31513",12
2,1/1/2018,,Coastal GA Area CAA Claxton Head Start,720,720 N. Church St. Claxton GA 30417,Claxton,30417,Evans,"Kids, Adults",Open Hand Atlanta,-81.91271,32.17137,rooftop,"720 N. Church St. Claxton GA 30417,Claxton,GA,30417",12
2,1/1/2018,,Tattnall County Library,129,129 Tattnall St ,Reidville,30453,Tattnall,"Individuals, Families",Open Hand Atlanta,-82.12078,32.08293,rooftop,"129 Tattnall St ,Reidville,GA,30453",12
2,1/1/2018,,"Concerted Services Senior Center, Candler County",430,430 North Rountree St,Metter,30439,Candler,"Adults 18+, Families",Open Hand Atlanta,-82.06101,32.40234,range_interpolated,"430 North Rountree St,Metter,GA,30439",12
2,1/1/2018,,"Concerted Services Senior Center, Tattnall County ",144,144 West Brazell St,Reidsville,30453,Tattnall,"Adults 18+, Families",Open Hand Atlanta,-82.1199,32.08533,range_interpolated,"144 West Brazell St,Reidsville,GA,30453",12
2,1/1/2018,Cooking Matters for Adults,Bulloch County Concerted Services Senior Center,515,Denmark St.,Statesboro,30458,Statesboro,Adults,Open Hand Atlanta,-81.79904,32.44898,rooftop,"515 Denmark St.,Statesboro,GA,30458",12
3,1/1/2018,Middle School,Appling Middle School,2997,2997 Blackshear Hwy,Baxley,31513,Bibb,8-Jun,HealthMPowers,-82.34127,31.72237,range_interpolated,"2997 Blackshear Hwy,Baxley,GA,31513",12
3,1/1/2018,Elem,Craig-Houghton,1001,4th St,Augusta,30901,Richmond,K-5,HealthMPowers,-81.96185,33.46255,rooftop,"4th St,Augusta,GA,30901",12
3,1/1/2018,Elem,Barton Chapel,2329,Barton Chapel Rd,Augusta,30906,Richmond,K-5,HealthMPowers,-82.08894,33.44165,rooftop,"2329 Barton Chapel Rd,Augusta,GA,30906",12
3,1/1/2018,Elem,Blakeney ES,100,Olympic Dr,Waynesboro,30830,Burke,5-Mar,HealthMPowers,-81.99172,33.07954,rooftop,"100 Olympic Dr,Waynesboro,GA,30830",12
3,1/1/2018,Elem,Garrett,1100,Eisenhower Dr,Augusta,30904,Richmond,K-5,HealthMPowers,-82.01194,33.50952,rooftop,"1100 Eisenhower Dr,Augusta,GA,30904",12
3,1/1/2018,Elem,Lamar Milledge,510,Eve St,Augusta,30904,Richmond,K-5,HealthMPowers,-81.99667,33.48162,rooftop,"510 Eve St,Augusta,GA,30904",12
3,1/1/2018,Elem,Jamestown ES,3637,Hiers Blvd,Hephzibah,30815,Richmond,K-5,HealthMPowers,-82.094,33.39176,range_interpolated,"3637 Hiers Blvd,Hephzibah,GA,30815",12
3,1/1/2018,Elem,Hephzibah,2542,Highway 88,Hephzibah,30815,Richmond,K-5,HealthMPowers,-82.09881,33.31177,rooftop,"2542 Highway 88,Hephzibah,GA,30815",12
3,1/1/2018,Elem,A. Brian Merry,415,Boy Scout Rd,Augusta,30909,Richmond,K-5,HealthMPowers,-82.03963,33.49607,rooftop,"415 Boy Scout Rd,Augusta,GA,30909",12
3,1/1/2018,Elem,Rollins,2160,Mura Dr,Augusta,30906,Richmond,K-5,HealthMPowers,-82.03371,33.40063,rooftop,"2160 Mura Dr,Augusta,GA,30906",12
3,1/1/2018,Elem,Intermediate Literacy and Math Center,1215,Northwood Dr.,Augusta,30909,Richmond,5-Apr,HealthMPowers,-82.01601,33.51659,rooftop,"1215 Northwood Dr.,Augusta,GA,30909",12
3,1/1/2018,Child Care,Evans County,720,N. Church St.,Claxton,30417,Evans,5 yrs >,HealthMPowers,-81.91498,32.17402,rooftop,"720 N. Church St.,Claxton,GA,30417",12
3,1/1/2018,Elem,Monte Sano,2164,Richmond Ave,Augusta,30904,Richmond,K-5,HealthMPowers,-82.0158,33.46803,rooftop,"2164 Richmond Ave,Augusta,GA,30904",12
3,1/1/2018,Elem,Waynesboro Primary,352,Southside Dr.,Waynesboro,30830,Burke,K-2,HealthMPowers,-81.99412,33.08117,rooftop,"352 Southside Dr.,Waynesboro,GA,30830",12
3,1/1/2018,Elem,Tobacco Road,2397,Tobacco Rd,Augusta,30906,Richmond,K-5,HealthMPowers,-82.05628,33.37549,rooftop,"2397 Tobacco Rd,Augusta,GA,30906",12
3,1/1/2018,Elem,Hains,1820,Windsor Spring Rd,Augusta,30906,Richmond,K-5,HealthMPowers,-82.01398,33.41209,rooftop,"1820 Windsor Spring Rd,Augusta,GA,30906",12
3,1/1/2018,Elem,Windsor Spring,2534,Windsor Spring Rd,Augusta,30906,Richmond,k-5,HealthMPowers,-82.05874,33.39289,rooftop,"2534 Windsor Spring Rd,Augusta,GA,30906",12
3,1/1/2018,Elem,Sue Reynolds,3840,Wrightsboro Rd,Augusta,30909,Richmond,K-5,HealthMPowers,-82.10931,33.46865,rooftop,"3840 Wrightsboro Rd,Augusta,GA,30909",12
3,1/1/2018,Food Retail,KJ's Market IGA,208,W 6th St,Waynesboro,30830,Burke,Adults 18+,HealthMPowers,-82.01628,33.08822,,"208 W 6th St,Waynesboro,GA,30830",12
4,1/1/2018,Worksite & Harvest of the Month,"CSRA Economic Opportunity Authority, Inc.",1261,Greene Street,Augusta,30903,Richmond,18+SNAP-ED eligible,DPH,-81.97599,33.47696,rooftop,"1261 Greene Street,Augusta,GA,30903",12
4,1/1/2018,Worksite & Harvest of the Month,Augusta Parks & Recreation Department,2027,Lumpkin Road,Augusta,30916,Richmond,18+ SNAP-eligible,DPH,-82.02019,33.41932,rooftop,"2027 Lumpkin Road,Augusta,GA,30916",12
4,1/1/2018,Community Garden & Pick It Try It,Icebox Urban Farm,1736,Fenwick Street,Augusta,30904,Richmond,"Familes and 18+; SNAP- eligible; target of 1,600 individuals reached at this site",DPH,-81.99552,33.47794,rooftop,"1736 Fenwick Street,Augusta,GA,30904",12
4,1/1/2018,Community Garden & Pick It Try It,Richmond County Health Department Teaching Gardens,950,Laney Walker Blvd,Augusta,30901,Richmond,Familes and 18+; SNAP- eligible; target of 400 individuals reached at this site,DPH,-81.97544,33.46454,rooftop,"950 Laney Walker Blvd,Augusta,GA,30901",12
4,1/1/2018,Community Garden & Pick It Try It,The Incubator Gardens at the Clubhouse,540,Telfair Street,Augusta,30901,Richmond,Familes and 18+; SNAP- eligible; target of 100 individuals reached at this site,DPH,-81.96238,33.46993,rooftop,"540 Telfair Street,Augusta,GA,30901",12
4,1/1/2018,Community Garden & Pick It Try It,The Master's Table Teaching Gardens,702,Fenwick Street,Augusta,30901,Richmond,Familes and 18+; SNAP- eligible; target of 300 individuals reached at this site.,DPH,-81.96694,33.46854,rooftop,"702 Fenwick Street,Augusta,GA,30901",12
4,1/1/2018,Community Garden & Pick It Try It,The Blueberries for Ms. Willie Initiative (Harrisburg community),109,Eve Street,Augusta,30904,Richmond,Familes and 18+; SNAP- eligible; target of 400 individuals reached at this site,DPH,-81.99514,33.48712,rooftop,"109 Eve Street,Augusta,GA,30904",12
4,1/1/2018,Worksite & Harvest of the Month,"Robin Builders, Inc",552,S. State Street,Lyons,30436,Toombs,18+; SNAP- eligible,DPH,-82.32468,32.19336,rooftop,"552 S. State Street,Lyons,GA,30436",12
4,1/1/2018,Worksite & Harvest of the Month,Savannah Luggage Works,3428,Hwy 297,Vidalia,30474,Toombs,18+; SNAP- eligible,DPH,-82.40725,32.2792,range_interpolated,"3428 Hwy 297,Vidalia,GA,30474",12
4,1/1/2018,Worksite & Harvest of the Month,Thai Union Chicken of the Sea Canning & US Pet Co.,129,North Commerce Drive,Lyons,30436,Toombs,18+; SNAP- eligible,DPH,-82.32953,32.24073,rooftop,"129 North Commerce Drive,Lyons,GA,30436",12
4,1/1/2018,Worksite & Harvest of the Month,Telamon Corporation,111,Oliver Lane,Glennville,30427,Tattnall,18+; SNAP- eligible,DPH,-81.93181,31.92617,rooftop,"111 Oliver Lane,Glennville,GA,30427",12
4,1/1/2018,Community Garden & Pick It Try It,Heritage Gardens of Tattnall,146,West Brazell Street,Reidsville,30453,Tattnall,Familes and 18+; SNAP- eligible,DPH,-82.12134,32.0848,range_interpolated,"146 West Brazell Street,Reidsville,GA,30453",12
4,1/1/2018,Community Garden & Pick It Try It,Tattnall County Cooperative Extension,200,A. South Main Street,Reidsville,30453,Tattnall,Familes and 18+; SNAP- eligible,DPH,-82.11307,32.08143,rooftop,"200 A. South Main Street,Reidsville,GA,30453",12
4,1/1/2018,Worksite & Harvest of the Month,Tattnall County Library,129,Tattnall Street,Reidsville,30453,Tattnall,18+; SNAP- eligible,DPH,-82.12078,32.08293,rooftop,"129 Tattnall Street,Reidsville,GA,30453",12
4,1/1/2018,Community Garden & Pick It Try It,Next to Dublin City Hall and Market on Madison,100,"South Church Street, at corner of Church and Madison Street",Dublin,31021,Laurens,Familes and 18+; SNAP- eligible,DPH,-82.90842,32.53836,range_interpolated,"100 South Church Street, at corner of Church and Madison Street,Dublin,GA,31021",12
4,1/1/2018,Community Garden & Pick It Try It,Community Garden enhancement on the school site,911,Martin Luther King Jr. Drive,Dublin,31021,Laurens,Familes and 18+; SNAP- eligible,DPH,-82.90256,32.5254,rooftop,"911 Martin Luther King Jr. Drive,Dublin,GA,31021",12
4,1/1/2018,Community Gardens,Bayvale Elementary School,3309,Milledgeville Road,Augusta,30909,Richmond County,Familes and 18+; SNAP- eligible,DPH,-82.05323,33.44908,,"3309 Milledgeville Road,Augusta,GA,30909",12
4,1/1/2018,Community Gardens,Storehouse Pantry,3126,Parrish Road,Augusta,30907,Richmond County,Familes and 18+; SNAP- eligible,DPH,-82.05816,33.51725,,"3126 Parrish Road,Augusta,GA,30907",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Appling County Extension,83,Oak St.,Baxley,31513,Appling,12,UGA,-82.34519,31.77622,,"83 Oak St.,Baxley,GA,31513",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Bulloch County Extension,151,Langston Chapel Rd.,Statesboro,30458,Bulloch,12,UGA,-81.8078,32.39934,,"151 Langston Chapel Rd.,Statesboro,GA,30458",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Candler County Extension,1075,"E. Hiawatha St., Suite B",Metter,30439,Candler,12,UGA,-82.03802,32.39142,,"1075 E. Hiawatha St., Suite B,Metter,GA,30439",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Coffee County Extension,709,E. Ward St.,Douglas,31533,Coffee,12,UGA,-82.84118,31.50876,,"709 E. Ward St.,Douglas,GA,31533",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Effingham County Extension,284,Hwy. #119 South,Springfield,31329,Effingham,12,UGA,-81.31667,32.36838,,"284 Hwy. #119 South,Springfield,GA,31329",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Evans County Extension,102,Daniel St.,Claxton,30417,Evans,12,UGA,-81.90646,32.16324,,"102 Daniel St.,Claxton,GA,30417",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Jeff davis County Extension,14,Jeff Davis St.,Hazlehurst,31539,Jeff davis,12,UGA,-82.60081,31.8626,,"14 Jeff Davis St.,Hazlehurst,GA,31539",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Jenkins County Extension,434,E. Barney Ave.,Millen,30442,Jenkins,12,UGA,-81.93677,32.80876,,"434 E. Barney Ave.,Millen,GA,30442",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Laurens County Extension,1511-A,Telfair St.,Dublin,31021,Laurens,12,UGA,-82.91833,32.52319,,"1511-A Telfair St.,Dublin,GA,31021",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Montgomery County Extension,130,West Broad St.,Mount Vernon,30445,Montgomery,12,UGA,-82.59644,32.17494,,"130 West Broad St.,Mount Vernon,GA,30445",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Screven County Extension,321,Rocky Ford Rd.,Sylvania,30467,Screven,12,UGA,-81.6513,32.74914,,"321 Rocky Ford Rd.,Sylvania,GA,30467",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Tattnall County Extension,209,Bolton St.,Glennville,30427,Tattnall,12,UGA,-81.92382,31.93307,,"209 Bolton St.,Glennville,GA,30427",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Toombs County Extension,200,"Courthouse Square, Suite 4",Lyons,30436,Toombs,12,UGA,-82.32179,32.20435,,"200 Courthouse Square, Suite 4,Lyons,GA,30436",12
1,5/10/2018,"FT, FTBU, FeT, FTFM, Outreach",Wheeler County Extension,16,W. Forest Ave.  Suite 109,Alamo,30411,Wheeler,12,UGA,-82.78321,32.14879,,"16 W. Forest Ave.  Suite 109,Alamo,GA,30411",12
1,5/17/2018,"FT, FTBU, FeT, FTFM, Outreach",Richmond County Extension,602,Greene Street,Augusta,30901,Richmond,12,UGA,-81.96296,33.47175,,"602 Greene Street,Augusta,GA,30901",12
3,5/15/2018,Farmers Market,Burke County Harvest Bright Farmer's Market: Southern Bank,855,N Liberty St,Waynesboro,30830,Burke,Adults 18+,HealthMPowers,-82.01981,33.09513,,"855 N Liberty St,Waynesboro,GA,30830",12
3,5/15/2018,Farmers Market,Burke County Harvest Bright Farmer's Market: Early Head Start,518,College St,Waynesboro,30830,Burke,Adults 18+,HealthMPowers,-82.02615,33.09241,,"518 College St,Waynesboro,GA,30830",12
4,5/30/2018,Community Garden & Pick It Try It,Montgomery County Government,310,West Broad Street,Mount Vernon,30445,Montgomery,18+ SNAP-eligible,DPH,-82.59775,32.1759,,"310 West Broad Street,Mount Vernon,GA,30445",12
1,1/1/2018,"Food Talk, Food Talk:Better U",Kinship Care Resource Center,849,Battle Creek Rd.,Jonesboro,30236,Clayton,Adults 18+,UGA,-84.36449,33.55402,rooftop,"849 Battle Creek Rd.,Jonesboro,GA,30236",13
1,1/1/2018,"Food Talk, Food Talk:Better U",South Clayton Recreation Center,1837,McDonough Rd.,Hampton,30228,Clayton,Adults 18+,UGA,-84.33162,33.44768,rooftop,"1837 McDonough Rd.,Hampton,GA,30228",13
1,1/1/2018,"Food Talk, Food Talk:Better U",24/7 Dads,1117,Battle Creek Rd.,Jonesboro,30236,Clayton,Adults 18+,UGA,-84.35445,33.55206,rooftop,"1117 Battle Creek Rd.,Jonesboro,GA,30236",13
1,1/1/2018,"Food Talk, Food Talk: Better U",ClaytonCounty Board of Health,1117,Battlecreek Rd.,Jonesboro,30236,Clayton,Adults 18+,UGA,-84.35445,33.55206,rooftop,"1117 Battlecreek Rd.,Jonesboro,GA,30236",13
1,1/1/2018,"Food Talk, Food Talk: Better U",Salvation Army - Clayton County,130,Spring St.,Jonesboro,30236,Clayton,Adults 18+,UGA,-84.35746,33.52534,rooftop,"130 Spring St.,Jonesboro,GA,30236",13
1,1/1/2018,"Food Talk, Food Talk: Better U",Bobby Dodd,221,Stockbridge Rd.,Jonesboro,30236,Clayton,Adults 18+,UGA,-84.34859,33.52569,rooftop,"221 Stockbridge Rd.,Jonesboro,GA,30236",13
1,1/1/2018,"Food Talk, Food Talk:Better U, Food Talk:Farmers Market",Riverdale Library,420,Valley Hill Rd.,Riverdale,30274,Clayton,Adults 18+,UGA,-84.40398,33.57011,rooftop,"420 Valley Hill Rd.,Riverdale,GA,30274",13
1,1/1/2018,Food Talk and Food Talk: Better U,Sheltering Arms,5020,Stonewall Tell Rd,College Park,30349,Fulton,Adults 18+,UGA,-84.55245,33.59988,rooftop,"5020 Stonewall Tell Rd,College Park,GA,30349",13
1,1/1/2018,"FT, FTBU, FTFM, Outreach",Sheltering Arms - Oakley Township Center,7210,Oakley Terrace,Union City,30291,Fulton,Adults 18+,UGA,-84.52896,33.55699,rooftop,"7210 Oakley Terrace,Union City,GA,30291",13
1,1/1/2018,"FTFM, Outreach",Mundy Mills High School (location of a health/wellness event),9652,Fayetteville Rd,Jonesboro,30228,Clayton,Adults 18+,UGA,-84.38394,33.49147,,"9652 Fayetteville Rd,Jonesboro,GA,30228",13
1,4/17/2018,FTFM,Jonesboro Farmers Market,155,Lee Street,Jonesboro,30236,Clayton,,UGA,-84.35714,33.52548,,"155 Lee Street,Jonesboro,GA,30236",13
1,5/7/2018,"FTFM, Outreach",Palmetto Neighborhood Senior Center,510,Turner Avenue,Palmetto,30268,Fulton,13,UGA,-84.66862,33.52481,,"510 Turner Avenue,Palmetto,GA,30268",13
2,1/1/2018,,FANN Program at Walton Crossing,1820,"Mulkey Rd SW, Austell, GA 30106",Austell,30106,Cobb,"Families, Adults",Open Hand Atlanta,-84.60764,33.861,,"1820 Mulkey Rd SW, Austell, GA 30106,Austell,GA,30106",13
2,1/1/2018,,Pebblebrook High School- Family Program,991,Old Alabama Road,Mableton,30126,Cobb,teens 14-18 and Adults,Open Hand Atlanta,-84.58185,33.80688,rooftop,"991 Old Alabama Road,Mableton,GA,30126",13
2,1/1/2018,,Clay Elementary School,730,Boggs Rd,Mableton,30126,Cobb,Kids,Open Hand Atlanta,-84.57561,33.80479,rooftop,"730 Boggs Rd,Mableton,GA,30126",13
2,1/1/2018,Communities In Schools of Marietta/Cobb County,South Cobb High School,1920,Clay Rd. SW,Austell,30106,Cobb,Teens,Open Hand Atlanta,-84.61047,33.83335,rooftop,"1920 Clay Rd. SW,Austell,GA,30106",13
2,1/1/2018,,Sweetwater Mission: Food Pantry,6289,Veterans Memorial Hwy #12a,Austell,30168,Cobb,Adults,Open Hand Atlanta,-84.73783,33.75563,range_interpolated,"6289 Veterans Memorial Hwy #12a,Austell,GA,30168",13
2,1/1/2018,Cooking Matters for Adults,Walton Reserve Apartments,1500,Walton Reserve Blvd.,Austell,30168,Cobb,Adults,Open Hand Atlanta,-84.60133,33.78124,,"1500 Walton Reserve Blvd.,Austell,GA,30168",13
2,4/17/2018,"Cooking Matters for Adults, Teens, and Kids",Hands of Hope Clinic,1010,Hospital Drive Bldg. B,Stockbridge,30281,Henry,"Adults, Kids and Teens",Open Hand Atlanta,-84.22583,33.50949,,"1010 Hospital Drive Bldg. B,Stockbridge,GA,30281",13
3,1/1/2018,Elem,Oliver,1725,Cheryl Leigh Dr,Riverdale,30296,Clayton,K-5,HealthMPowers,-84.4465,33.57778,rooftop,"1725 Cheryl Leigh Dr,Riverdale,GA,30296",13
3,1/1/2018,Child Care,Pure Love Learning Center,6120,Hwy 85,Riverdale,30274,Clayton,5 yrs >,HealthMPowers,-84.40893,33.58786,rooftop,"6120 Hwy 85,Riverdale,GA,30274",13
3,1/1/2018,Elem,Pointe South,8482,Thomas Rd,Riverdale,30274,Clayton,K-5,HealthMPowers,-84.41126,33.52346,rooftop,"8482 Thomas Rd,Riverdale,GA,30274",13
3,1/1/2018,Middle School,Jonesboro Middle School,1308,Arnold St.,Jonesboro,30236,Clayton,8-Jun,HealthMPowers,-84.34848,33.52084,rooftop,"1308 Arnold St.,Jonesboro,GA,30236",13
3,1/1/2018,Child Care,Harvest Rain Academy,51,Senoia Road,Fairburn,30213,Fulton,5 yrs >,HealthMPowers,-84.58384,33.5624,rooftop,"51 Senoia Road,Fairburn,GA,30213",13
3,1/1/2018,Child Care,Mrs. Green's Learning Academy,680,Chatham Trail,Jonesboro,30238,Clayton,5 yrs >,HealthMPowers,-84.413,33.5161,rooftop,"680 Chatham Trail,Jonesboro,GA,30238",13
3,1/1/2018,Elem,Church Street,7013,Church St,Riverdale,30274,Clayton,K-5,HealthMPowers,-84.41808,33.56336,rooftop,"7013 Church St,Riverdale,GA,30274",13
3,1/1/2018,Middle School,Sequoyah Middle School,95,95 Valley Hill Rd SW,Riverdale,30274,Clayton,8-Jun,HealthMPowers,-84.38711,33.56473,rooftop,"95 Valley Hill Rd SW,Riverdale,GA,30274",13
