Agency,Date Added,Project,Name_of_Lo,Street_Num,Address,City,Zipcode,County,Target_Aud,Agency_name,lon,lat,loctype,search_add
1,1/1/2018,"Food Talk, Food Talk:Better U",Bartow Family Resources,200,Leake St.,Cartersville,30120,Bartow,Adults 18+,UGA,-84.8003137,34.1620161,rooftop,"200 Leake St.,Cartersville,GA,30120"
1,1/1/2018,"Food Talk, Food Talk:Better U",Allatoona Resource Center,6503,Glade Rd. SE,Acworth,30101,Bartow,Adults 18+,UGA,-84.681162,34.1137254,rooftop,"6503 Glade Rd. SE,Acworth,GA,30101"
1,1/1/2018,"Food Talk, Food Talk: Better U",Magnolia Room,200,S. Madison Ave. #C,Douglas,31533,Coffee,Adults 18+,UGA,-82.84886,31.50722,rooftop,"200 S. Madison Ave. #C,Douglas,GA,31533"
1,1/1/2018,"Food Talk, Food Talk:Better U",Hamilton Mill Crossing,116,Hamilton Crossing Rd. NW,Cartersville,30120,Bartow,Adults 18+,UGA,-84.8660329,34.2392634,rooftop,"116 Hamilton Crossing Rd. NW,Cartersville,GA,30120"
1,1/1/2018,"Food Talk, Food Talk:Better U",Episcopal Food Pantry,205,W. Cherokee Ave.,Cartersville,30120,Bartow,Adults 18+,UGA,-84.8010164,34.1655814,rooftop,"205 W. Cherokee Ave.,Cartersville,GA,30120"
1,1/1/2018,"Food Talk, Food Talk:Better U",Athens Community on Aging,135,Hoyt St.,Athens,30601,Clarke,Adults 18+,UGA,-83.3794891,33.9643744,rooftop,"135 Hoyt St.,Athens,GA,30601"
1,1/1/2018,"Food Talk, Food Talk:Better U",Advantage Behavioral Health Center,250,North Ave.,Athens,30601,Clarke,Adults 18+,UGA,-83.3650244,33.9717296,rooftop,"250 North Ave.,Athens,GA,30601"
1,1/1/2018,"Food Talk, Food Talk:Better U",Greater Bethel Episcopal Church,250,Rose St.,Athens,30601,Clarke,Adults 18+,UGA,-83.3650528,34.0458234,range_interpolated,"250 Rose St.,Athens,GA,30601"
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Winterville Elementary School,305,Cherokee Rd.,Winterville,30683,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,UGA,-83.2897798,33.9699357,rooftop,"305 Cherokee Rd.,Winterville,GA,30683"
1,1/1/2018,"Food Talk, Food Talk:Better U",Diversions Center,2725,Lexington Rd.,Athens,30606,Clarke,Adults 18+,UGA,-83.3315383,33.9430774,rooftop,"2725 Lexington Rd.,Athens,GA,30606"
1,1/1/2018,"Food Talk, Food Talk:Better U",Goodwill Career Center,4070,Lexington Rd.,Athens,30605,Clarke,Adults 18+,UGA,-83.3230366,33.9369361,rooftop,"4070 Lexington Rd.,Athens,GA,30605"
1,1/1/2018,"Food Talk, Food Talk:Better U, Food Talk:Farmers Market",Morrow Library,6225,Maddox Rd.,Morrow,30260,Clayton,Adults 18+,UGA,-84.314123,33.584986,rooftop,"6225 Maddox Rd.,Morrow,GA,30260"
1,1/1/2018,"Food Talk, Food Talk: Better U",Salvation Army,469,Marietta St.,Atlanta,30313,Fulton,Adults 18+,UGA,-84.3969815,33.7656876,rooftop,"469 Marietta St.,Atlanta,GA,30313"
1,1/1/2018,"Food Talk, Food Talk: Better U",Adamsville Senior Center,3537,"Martin Luther King, Jr.Dr.",Atlanta,30331,Fulton,Adults 18+,UGA,-84.5026374,33.7590469,rooftop,"3537 Martin Luther King, Jr.Dr.,Atlanta,GA,30331"
1,1/1/2018,"Food Talk, Food Talk:Better U",South Clayton Recreation Center,1837,McDonough Rd.,Hampton,30228,Clayton,Adults 18+,UGA,-84.3316233,33.4476849,rooftop,"1837 McDonough Rd.,Hampton,GA,30228"
1,1/1/2018,"Food Talk, Food Talk: Better U",Genesis Alliance Mental Health,4540,Memorial Dr.,Decatur,30032,DeKalb,Adults 18+,UGA,-84.2429391,33.780744,rooftop,"4540 Memorial Dr.,Decatur,GA,30032"
1,1/1/2018,"Food Talk, Food Talk: Better U",Essence of Hope,2031,Metropolitan Pwky. SW,Atlanta,30315,Fulton,Adults 18+,UGA,-84.4081967,33.6987501,rooftop,"2031 Metropolitan Pwky. SW,Atlanta,GA,30315"
1,1/1/2018,"Food Talk, Food Talk: Better U",DeKalb Court,556,N. McDonough St.,Decatur,30030,DeKalb,Adults 18+,UGA,-84.2972218,33.7740686,rooftop,"556 N. McDonough St.,Decatur,GA,30030"
1,1/1/2018,"Food Talk, Food Talk: Better U",ATCO-Wiregrass,59,N. Pearson St.,Pearson,31642,Coffee,Adults 18+,UGA,-82.8506505,31.2989189,range_interpolated,"59 N. Pearson St.,Pearson,GA,31642"
1,1/1/2018,"Food Talk, Food Talk:Better U",Live Forward,240,North Ave.,Athens,30601,Clarke,Adults 18+,UGA,-83.3676315,33.9705363,rooftop,"240 North Ave.,Athens,GA,30601"
1,1/1/2018,"Food Talk, Food Talk: Better U",Matthew's Place,565,Larkin St.,Atlanta,30313,Fulton,Adults 18+,UGA,-84.405215,33.7480148,range_interpolated,"565 Larkin St.,Atlanta,GA,30313"
1,1/1/2018,"Food Talk, Food Talk:Better U",Mercy Health Center,700,Oglethorpe Ave.,Athens,30606,Clarke,Adults 18+,UGA,-83.4124717,33.9631067,rooftop,"700 Oglethorpe Ave.,Athens,GA,30606"
1,1/1/2018,"Food Talk, Food Talk:Better U",Rollins Child Development,676,Henderson Dr.,Cartersville,30120,Bartow,Adults 18+,UGA,-84.8174524,34.1526443,rooftop,"676 Henderson Dr.,Cartersville,GA,30120"
1,1/1/2018,"Food Talk, Food Talk: Better U",New Horizons,745,Orr St.,Atlanta,30314,Fulton,Adults 18+,UGA,-84.4116819,33.7626371,rooftop,"745 Orr St.,Atlanta,GA,30314"
1,1/1/2018,Housing Services,The Gardens Apartments,899,Park St.,Atlanta,30310,Fulton,Adults 18+,UGA,-84.4172108,33.7422408,rooftop,"899 Park St.,Atlanta,GA,30310"
1,1/1/2018,"Food Talk, Food Talk: Better U",Brooks Hill,185,Penland St.,Ellijay,30540,Gilmer,Adults 18+,UGA,-84.4863215,34.7052953,rooftop,"185 Penland St.,Ellijay,GA,30540"
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Gaines Elementary School,900,Gaines School Rd.,Athens,30605,Clarke,Pre-K children (3-5)  Pre-K Teachers 18+  Parents 18+,UGA,-83.3371582,33.9297539,rooftop,"900 Gaines School Rd.,Athens,GA,30605"
1,1/1/2018,"Food Talk, Food Talk: Better U",Gilmer County Extension Office,1123,Progress Rd.,Eljay,30540,Gilmer,Adults 18+,UGA,-84.4898445,34.676409,rooftop,"1123 Progress Rd.,Eljay,GA,30540"
1,1/1/2018,"Food Talk, Food Talk:Better U",Clayton Community Services Authority,1000,Main St.,Forest Park,30297,Clayton,Adults 18+,UGA,-84.3573996,33.6205692,rooftop,"1000 Main St.,Forest Park,GA,30297"
1,1/1/2018,"Food Talk, Food Talk:Better U",Clayton County Service Authority/Food Pantry,1000,Main St.,Forest Park,30297,Clayton,Adults 18+,UGA,-84.3573996,33.6205692,rooftop,"1000 Main St.,Forest Park,GA,30297"
1,1/1/2018,"Food Talk, Food Talk:Better U",New Joy,496,Resse St.,Athens,30601,Clarke,Adults 18+,UGA,-83.3858581,33.9568996,rooftop,"496 Resse St.,Athens,GA,30601"
1,1/1/2018,"Food Talk, Food Talk: Better U",Concerted Services-Douglas,1115,W. Baker Hwy.,Douglas,31533,Coffee,Adults 18+,UGA,-82.8639328,31.501293,rooftop,"1115 W. Baker Hwy.,Douglas,GA,31533"
1,1/1/2018,"Food Talk, Food Talk:Better U",24/7 Dads,1117,Battle Creek Rd.,Jonesboro,30236,Clayton,Adults 18+,UGA,-84.354452,33.5520572,rooftop,"1117 Battle Creek Rd.,Jonesboro,GA,30236"
1,1/1/2018,"Food Talk, Food Talk: Better U",ClaytonCounty Board of Health,1117,Battlecreek Rd.,Jonesboro,30236,Clayton,Adults 18+,UGA,-84.354452,33.5520572,rooftop,"1117 Battlecreek Rd.,Jonesboro,GA,30236"
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Oglethorpe Elementary School,1150,Oglethorpe Ave.,Athens,30606,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,UGA,-83.4226254,33.9633663,rooftop,"1150 Oglethorpe Ave.,Athens,GA,30606"
1,1/1/2018,Easter Seals: Head Start Classrooms,Easter Seals of Northeast Georgia: Madison County Head Start,85,Rock Quarry Rd.,Danielsville,30633,Madison,Head Start children (3-5)  Head Start Teachers 18+  Parents 18+,UGA,-83.2149941,34.1366127,rooftop,"85 Rock Quarry Rd.,Danielsville,GA,30633"
1,1/1/2018,"Food Talk, Food Talk:Better U",Timothy Woods Apartments,2085,S.Miledge St.,Athens,30605,Clarke,Adults 18+,UGA,-83.3777469,33.9237182,rooftop,"2085 S.Miledge St.,Athens,GA,30605"
1,1/1/2018,"Food Talk, Food Talk:Better U",Athens Housing Authority,300,S.Rock Springs St.,Athens,30601,Clarke,Adults 18+,UGA,-83.393286,33.950999,rooftop,"300 S.Rock Springs St.,Athens,GA,30601"
1,1/1/2018,"Food Talk, Food Talk: Better U",Salvation Army - Clayton County,130,Spring St.,Jonesboro,30236,Clayton,Adults 18+,UGA,-84.3574578,33.5253351,rooftop,"130 Spring St.,Jonesboro,GA,30236"
1,1/1/2018,"Food Talk, Food Talk: Better U",Bobby Dodd,221,Stockbridge Rd.,Jonesboro,30236,Clayton,Adults 18+,UGA,-84.3485933,33.5256908,rooftop,"221 Stockbridge Rd.,Jonesboro,GA,30236"
1,1/1/2018,"Food Talk, Food Talk: Better U",Veranda at Carver,217,Thirkield Ave.,Atlanta,30315,Fulton,Adults 18+,UGA,-84.3833105,33.7148857,range_interpolated,"217 Thirkield Ave.,Atlanta,GA,30315"
1,1/1/2018,"Food Talk, Food Talk: Better U",Coffee High School,159,Trojan Way,Douglas,31533,Coffee,Adults 18+,UGA,-82.8611803,31.5522282,rooftop,"159 Trojan Way,Douglas,GA,31533"
1,1/1/2018,"Food Talk, Food Talk:Better U, Food Talk:Farmers Market",Riverdale Library,420,Valley Hill Rd.,Riverdale,30274,Clayton,Adults 18+,UGA,-84.4039771,33.5701123,rooftop,"420 Valley Hill Rd.,Riverdale,GA,30274"
1,1/1/2018,"Food Talk, Food Talk: Better U",Wiregrass GED,706,W. Baker Hwy.,Douglas,31533,Coffee,Adults 18+,UGA,-82.8583149,31.5009396,rooftop,"706 W. Baker Hwy.,Douglas,GA,31533"
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Cleveland Road Elementary School,1700,Cleveland Rd.,Bogart,30622,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,UGA,-83.505146,33.967061,rooftop,"1700 Cleveland Rd.,Bogart,GA,30622"
1,1/1/2018,"Food Talk, Food Talk: Better U",Douglas County Senior Center,408,W.Ward St.,Douglas,31533,Coffee,Adults 18+,UGA,-82.8553204,31.5087674,range_interpolated,"408 W.Ward St.,Douglas,GA,31533"
1,1/1/2018,"Food Talk, Food Talk:Better U",Hope Haven,2152,West Broad St.,Athens,30601,Clarke,Adults 18+,UGA,-83.4069829,33.9509009,rooftop,"2152 West Broad St.,Athens,GA,30601"
1,1/1/2018,"Food Talk, Food Talk:Better U. Food Talk: Farmers Market",Forest Park Library,4812,West St.,Forest Park,30297,Clayton,Adults 18+,UGA,-84.3678664,33.6231094,rooftop,"4812 West St.,Forest Park,GA,30297"
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Whit Davis Elementary School,1450,Whit Davis Rd.,Athens,30605,Clarke,Pre-K children (3-5)  Pre_K Teachers 18+  Parents 18+,UGA,-83.3172223,33.9042853,rooftop,"1450 Whit Davis Rd.,Athens,GA,30605"
1,1/1/2018,HCCG: Pre-K Classrooms,Clarke County School District: Timothy Road Elementary School,1900,Timothy Rd.,Athens,30606,Clarke,Pre-K children (3-5)  Pre-K Teachers 18+  Parents 18+,UGA,-83.4462891,33.9372981,rooftop,"1900 Timothy Rd.,Athens,GA,30606"
1,1/1/2018,HCCG: ECE Collaborative,Clarke County School District Office of Early Learning,440-2,Dearing Extension,Athens,30606,Clarke,Pre-K Teachers 18+,UGA,-83.4007836,33.9501655,rooftop,"440-2 Dearing Extension,Athens,GA,30606"
1,1/1/2018,HCCG: ECE Collaborative,Clarke County School District Office of Early Learning,440-2,Dearing Extension,Athens,30606,Clarke,Pre-K Teachers 18+,UGA,-83.4007836,33.9501655,rooftop,"440-2 Dearing Extension,Athens,GA,30606"
1,1/1/2018,HCCG: ECE Collaborative,Clarke County School District Office of Early Learning,440-2,Dearing Extension,Athens,30606,Clarke,Pre-K Teachers 18+,UGA,-83.4007836,33.9501655,rooftop,"440-2 Dearing Extension,Athens,GA,30606"
1,1/1/2018,HCCG: ECE Collaborative,Clarke County School District Office of Early Learning,440-2,Dearing Extension,Athens,30606,Clarke,Pre-K Teachers 18+,UGA,-83.4007836,33.9501655,rooftop,"440-2 Dearing Extension,Athens,GA,30606"
1,1/1/2018,HCCG: ECE Collaborative,Clarke County School District Office of Early Learning,440-2,Dearing Extension,Athens,30606,Clarke,Pre-K Teachers 18+,UGA,-83.4007836,33.9501655,rooftop,"440-2 Dearing Extension,Athens,GA,30606"
1,1/1/2018,HCCG: ECE Collaborative,Clarke County School District Office of Early Learning,440-2,Dearing Extension,Athens,30606,Clarke,Pre-K Teachers 18+,UGA,-83.4007836,33.9501655,rooftop,"440-2 Dearing Extension,Athens,GA,30606"
1,1/1/2018,HCCG: ECE Collaborative,Clarke County School District Office of Early Learning,440-2,Dearing Extension,Athens,30606,Clarke,Pre-K Teachers 18+,UGA,-83.4007836,33.9501655,rooftop,"440-2 Dearing Extension,Athens,GA,30606"
1,1/1/2018,HCCG: ECE Collaborative,Clarke County School District Office of Early Learning,440-2,Dearing Extension,Athens,30606,Clarke,Pre-K Teachers 18+,UGA,-83.4007836,33.9501655,rooftop,"440-2 Dearing Extension,Athens,GA,30606"
1,1/1/2018,Food Talk and Food Talk: Better U,Atlanta Habitat for Humanity,824,Memorial Dr SE,Atlanta,30316,Fulton,Adults 18+,UGA,-84.3607482,33.7467781,rooftop,"824 Memorial Dr SE,Atlanta,GA,30316"
1,1/1/2018,Food Talk and Food Talk: Better U,Atlanta Habitat for Humanity,824,Memorial Dr SE,Atlanta,30316,Fulton,Adults 18+,UGA,-84.360275,33.747102,rooftop,"824 Memorial Dr SE,Atlanta,GA,30316"
1,1/1/2018,Outreach Event,Fall Festival,3499,Rex Rd,Rex,30273,Clayton,Adults 18+,UGA,-84.276728,33.5893002,rooftop,"3499 Rex Rd,Rex,GA,30273"
1,1/1/2018,Food Talk: Farmers Market and Outreach Event,St. Mary's Hospital,1230,Baxter St,Athens,30606,Clarke,Adults 18+,UGA,-83.405571,33.947691,rooftop,"1230 Baxter St,Athens,GA,30606"
1,1/1/2018,Food Talk: Farmers Market and Outreach Event,Rashe's Cuisine,211,Tallassee Rd,Athens,30606,Clarke,Adults 18+,UGA,-83.430651,33.9658291,rooftop,"211 Tallassee Rd,Athens,GA,30606"
1,1/1/2018,Outreach Event,Greater Bethany Baptist Church,786,Thurmond St,Atlanta,30314,Fulton,Adults 18+,UGA,-84.4131446,33.7602538,rooftop,"786 Thurmond St,Atlanta,GA,30314"
1,1/1/2018,Outreach Event,Greater Bethany Baptist Church,786,Thurmond St,Atlanta,30314,Fulton,Adults 18+,UGA,-84.4131446,33.7602538,rooftop,"786 Thurmond St,Atlanta,GA,30314"
1,1/1/2018,Outreach Event,Greater Bethany Baptist Church,786,Thurmond St,Atlanta,30314,Fulton,Adults 18+,UGA,-84.4131446,33.7602538,rooftop,"786 Thurmond St,Atlanta,GA,30314"
1,1/1/2018,Outreach Event,Greater Bethany Baptist Church,786,Thurmond St,Atlanta,30314,Fulton,Adults 18+,UGA,-84.4131446,33.7602538,rooftop,"786 Thurmond St,Atlanta,GA,30314"
1,1/1/2018,"FT, FTBU, FTFM, Outreach",Oakhurst Medical Center,5582,Memorial Drive,Stone Mountain,30083,DeKalb,Adults 18+,UGA,-84.2096732,33.8016793,rooftop,"5582 Memorial Drive,Stone Mountain,GA,30083"
1,1/1/2018,"FT, FTBU, FTFM, Outreach",Bishop Park,705,Sunset Drive,Athens,30606,Clarke,Adults 18+,UGA,-83.4121317,33.9644564,rooftop,"705 Sunset Drive,Athens,GA,30606"
1,1/1/2018,FTFM,Creature Comforts,271,W. Hancock Ave,Athens,30601,Clarke,Adults 18+,UGA,-83.380191,33.9589638,rooftop,"271 W. Hancock Ave,Athens,GA,30601"
1,1/1/2018,Food Talk and Food Talk: Better U,The Kindezi School West,286,Wilson Mill Rd,Atlanta,30331,Fulton,Adults 18+,UGA,-84.513546,33.7547859,rooftop,"286 Wilson Mill Rd,Atlanta,GA,30331"
1,1/1/2018,Food Talk and FT Better U,Fannin Food Pantry,101,Industrial Park Rd.,Blue Ridge,30513,Fannin,Adults 18+,UGA,-84.3113481,34.8843384,rooftop,"101 Industrial Park Rd.,Blue Ridge,GA,30513"
1,1/1/2018,Outreach,Cartersville First Baptist Church,241,Douthit Ferry Rd,Cartersville,30120,Bartow,Adults 18+,UGA,-84.8257348,34.1471773,rooftop,"241 Douthit Ferry Rd,Cartersville,GA,30120"
1,1/1/2018,"FT, FTBU, Outreach",Sparrow's Nest,745,Prince Ave,Athens,30606,Clarke,Adults 18+,UGA,-83.3898381,33.9610816,rooftop,"745 Prince Ave,Athens,GA,30606"
1,1/1/2018,"FT, FTBU, Outreach",Fourth Street Village Apartments,690,Fourth Street,Athens,30601,Clarke,Adults 18+,UGA,-83.359519,33.970698,rooftop,"690 Fourth Street,Athens,GA,30601"
1,1/1/2018,Food Talk and Food Talk: Better U,Sheltering Arms,5020,Stonewall Tell Rd,College Park,30349,Fulton,Adults 18+,UGA,-84.5524547,33.5998841,rooftop,"5020 Stonewall Tell Rd,College Park,GA,30349"
1,1/1/2018,Food Talk and FT Better U,Kingston Baptist,40,Main St,Kingston,30145,Bartow,Adults 18+,UGA,-84.9438308,34.2350046,range_interpolated,"40 Main St,Kingston,GA,30145"
1,1/1/2018,"FT, FTBU, FTFM, Outreach",Bethel Midtown Village,155,Hickman Dr,Athens,30601,Clarke,Adults 18+,UGA,-83.3785046,33.9620686,rooftop,"155 Hickman Dr,Athens,GA,30601"
1,1/1/2018,FTFM,Greater Works Missionary Baptist Church/Food Pantry,295,Morrow Rd,Forest Park,30297,Clayton,Adults 18+,UGA,-84.3804921,33.5912162,rooftop,"295 Morrow Rd,Forest Park,GA,30297"
1,1/1/2018,Outreach Event,Georgia Mountains Health Services,165,Blue Ridge Overlook,Blue Ridge,30513,Fannin,Adults 18+,UGA,-84.3263862,34.8756919,rooftop,"165 Blue Ridge Overlook,Blue Ridge,GA,30513"
1,1/1/2018,"FT,FTBU,FTFM Outreach",Cam Fulton/Truitt 4-H Center,4300,Hershel Road,College Park,30337,Fulton,Adults 18+,UGA,-84.4722799,33.6383647,rooftop,"4300 Hershel Road,College Park,GA,30337"
1,1/1/2018,NA,Our House,173,Boulevard,Atlanta,30312,Fulton,Adults 18+,UGA,-84.3717056,33.7591379,rooftop,"173 Boulevard,Atlanta,GA,30312"
1,1/1/2018,NA,The Good Samaritan,1015,Donald Lee Holowell PKWY,Atlanta,30318,Fulton,Adults 18+,UGA,-84.4206515,33.7736322,rooftop,"1015 Donald Lee Holowell PKWY,Atlanta,GA,30318"
1,1/1/2018,NA,Genesis Alliance Mental Health,4540,Memorial Dr. # C,Decatur,30032,DeKalb,Adults 18+,UGA,-84.2429391,33.780744,rooftop,"4540 Memorial Dr. # C,Decatur,GA,30032"
1,1/1/2018,NA,Cartersville Boys and Girls Clubs,642,Henderson Dr,Cartersville,30120,Bartow,Adults 18+,UGA,-84.8173767,34.1539515,rooftop,"642 Henderson Dr,Cartersville,GA,30120"
1,1/1/2018,Outreach,Chamblee Library,4115,Clairmont Road,Chamblee,30341,DeKalb,Adults 18+,UGA,-84.308739,33.8823099,rooftop,"4115 Clairmont Road,Chamblee,GA,30341"
1,1/1/2018,Outreach,Covington Library,3500,Covington Highway,Decatur,30032,DeKalb,Adults 18+,UGA,-84.2508421,33.7672718,rooftop,"3500 Covington Highway,Decatur,GA,30032"
1,1/1/2018,Outreach,Doraville Library,3748,Central Ave.,Doraville,30340,DeKalb,Adults 18+,UGA,-84.2783348,33.9015004,rooftop,"3748 Central Ave.,Doraville,GA,30340"
1,1/1/2018,Outreach,Dunwoody Library,5339,Chamblee-Dunwoody Road,Dunwoody,30338,DeKalb,Adults 18+,UGA,-84.3317741,33.9446504,rooftop,"5339 Chamblee-Dunwoody Road,Dunwoody,GA,30338"
1,1/1/2018,Outreach,Embry Hills Library,3733,Chamblee-Tucker Road,Chamblee,30341,DeKalb,Adults 18+,UGA,-84.2415226,33.8833991,rooftop,"3733 Chamblee-Tucker Road,Chamblee,GA,30341"
1,1/1/2018,Outreach,Gresham Library,2418,2418 Gresham Road SE,Atlanta,30316,DeKalb,Adults 18+,UGA,-84.3097882,33.718128,rooftop,"2418 Gresham Road SE,Atlanta,GA,30316"
1,1/1/2018,Outreach,Northlake-Barbara Loar Library,3772,LaVista Road,Tucker,30084,DeKalb,Adults 18+,UGA,-84.2610724,33.8418381,rooftop,"3772 LaVista Road,Tucker,GA,30084"
1,1/1/2018,Outreach,Salem-Panola Library,5137,Salem Road,Lithonia,30038,DeKalb,Adults 18+,UGA,-84.1779532,33.6780832,rooftop,"5137 Salem Road,Lithonia,GA,30038"
1,1/1/2018,Outreach,Tucker-Reid H. Cofer Library,5234,LaVista Road,Tucker,30084,DeKalb,Adults 18+,UGA,-84.2087529,33.8572693,rooftop,"5234 LaVista Road,Tucker,GA,30084"
1,1/1/2018,Outreach,Wesley Chapel-William C. Brown Library,2861,Wesley Chapel Road,Decatur,30034,DeKalb,Adults 18+,UGA,-84.2211536,33.7043247,rooftop,"2861 Wesley Chapel Road,Decatur,GA,30034"
1,1/1/2018,Outreach,Hairston Crossing Library,4911,Redan Road,Stone Mountain,30088,DeKalb,Adults 18+,UGA,-84.1920135,33.7588599,rooftop,"4911 Redan Road,Stone Mountain,GA,30088"
1,1/1/2018,Outreach,Flat Shoals Library,4022,Flat Shoals Pkwy.,Decatur,30034,DeKalb,Adults 18+,UGA,-84.25826,33.6913931,rooftop,"4022 Flat Shoals Pkwy.,Decatur,GA,30034"
1,1/1/2018,Outreach,Decatur Library,215,Sycamore St,Decatur,30030,DeKalb,Adults 18+,UGA,-84.2940387,33.7741573,rooftop,"215 Sycamore St,Decatur,GA,30030"
1,1/1/2018,Outreach,Stone Mountain-Sue Kellogg Library,952,Leon St,Stone Mountain,30083,DeKalb,Adults 18+,UGA,-84.1713029,33.8061596,rooftop,"952 Leon St,Stone Mountain,GA,30083"
