Agency_name,Project,Name_of_Lo,Street_Num,Address,City,Zipcode,County,Target_Aud,FullAdd,type,loctype,address_1,CD114FP,lon,lat
Open Hand Atlanta,NA,Four Corners Primary Clinic,5300,Oakbrook Pkwy #130,Norcross,30093,Gwinett,NA,"5300 Oakbrook Pkwy #130, Norcross, GA 30093",premise,rooftop,"5300 oakbrook pkwy, norcross, ga 30093, usa",7,-84.1777379,33.9189077
Open Hand Atlanta,NA,Norcross Mobile Home Village,4498,Buford Highway,Norcross,30319,Gwinett,NA,"4498 Buford Highway, Norcross, GA 30319",street_address,rooftop,"4498 buford hwy, norcross, ga 30071, usa",7,-84.1757306,33.9670727
Open Hand Atlanta,NA,Norcross Mobile Home Village,4498,Buford Highway,Norcross,30319,Gwinett,Adults 18+,"4498 Buford Highway, Norcross, GA 30319",street_address,rooftop,"4498 buford hwy, norcross, ga 30071, usa",7,-84.1757306,33.9670727
Open Hand Atlanta,"Cooking Matters for Adults, Teens and Kids",Beaver Ridge Elementary,1978,Beaver Ruin. Rd.,Norcross,30071,Gwinnett,"Adults, Teens, Kids","1978 Beaver Ruin. Rd., Norcross, GA 30071",street_address,rooftop,"1978 beaver ruin rd, norcross, ga 30071, usa",7,-84.1730622,33.9344276
HealthMPowers,Child Care,Norcross Head Start,5030,Georgia Belle Court,Norcross,30093,Gwinnett,5 yrs >,"5030 Georgia Belle Court, Norcross, GA 30093",street_address,rooftop,"5030 georgia belle ct, norcross, ga 30093, usa",7,-84.165037,33.920383
Open Hand Atlanta,NA,An apple a day Early Learning Center,3152,Creek Drive,Duluth,30096,Gwinnett,NA,"3152 Creek Drive, Duluth, GA 30096",premise,rooftop,"3152 creek dr nw, duluth, ga 30096, usa",7,-84.1526536,33.9849386
HealthMPowers,NA,Easter Seals Norcross,4335,Steve Reynolds Blvd.,Norcross,30093,Gwinnett,NA,"4335 Steve Reynolds Blvd., Norcross, GA 30093",premise,rooftop,"4335 steve reynolds blvd, norcross, ga 30093, usa",7,-84.1479409,33.9250366
HealthMPowers,Child Care,Easter Seals Norcross,4335,Steve Reynolds Blvd.,Norcross,30093,Gwinnett,< 5yrs,"4335 Steve Reynolds Blvd., Norcross, GA 30093",premise,rooftop,"4335 steve reynolds blvd, norcross, ga 30093, usa",7,-84.1479409,33.9250366
HealthMPowers,Child Care,Forsyth EHS/Head Start,133,Samaritan Drive,Cumming,30040,Forsyth,5 yrs >,"133 Samaritan Drive, Cumming, GA 30040",premise,rooftop,"133 samaritan dr, cumming, ga 30040, usa",7,-84.1472892,34.2083768
HealthMPowers,after school,Radloff Middle School,3939,Shackleford Rd,Duluth,30096,Gwinnett County,18-May,"3939 Shackleford Rd, Duluth, GA 30096",street_address,range_interpolated,"3939 shackleford rd, duluth, ga 30096, usa",7,-84.1379643,33.9447971
HealthMPowers,Middle School,Radloff,3939,Shackleford Rd,Duluth,30096,Gwinnett,8-Jun,"3939 Shackleford Rd, Duluth, GA 30096",street_address,range_interpolated,"3939 shackleford rd, duluth, ga 30096, usa",7,-84.1379643,33.9447971
HealthMPowers,Child Care,Sunshine House Duluth,1494,Pleasant Hill Rd.,Duluth,30096,Gwinnett,5 yrs >,"1494 Pleasant Hill Rd., Duluth, GA 30096",street_address,rooftop,"1494 pleasant hill rd, duluth, ga 30096, usa",7,-84.1219698,33.9426079
HealthMPowers,Child Care,Mis Pequenos Angeles Family Home Daycare,2600,Treehouse Lane,Lawrenceville,30044,Gwinnett,5 yrs >,"2600 Treehouse Lane, Lawrenceville, GA 30044",premise,rooftop,"2600 treehouse ln, lawrenceville, ga 30044, usa",7,-84.0963352,33.9441819
HealthMPowers,Child Care,NA,1039,Legacy Lane,Lawrenceville,30044,Gwinnett,< 5yrs,"1039 Legacy Lane, Lawrenceville, GA 30044",premise,rooftop,"1039 legacy ln, lawrenceville, ga 30044, usa",7,-84.0960696,33.9386952
HealthMPowers,Child Care,Leysi A. Guarnizo,1039,Legacy Lane,Lawrenceville,30044,Gwinnett,< 5yrs,"1039 Legacy Lane, Lawrenceville, GA 30044",premise,rooftop,"1039 legacy ln, lawrenceville, ga 30044, usa",7,-84.0960696,33.9386952
HealthMPowers,Child Care,Kandolo Baze,1210,Herrington Road,Lawrenceville,30044,Gwinnett,5 yrs >,"1210 Herrington Road, Lawrenceville, GA 30044",premise,rooftop,"1210 herrington rd, lawrenceville, ga 30044, usa",7,-84.082506,33.9502093
Open Hand Atlanta,"Cooking Matters for Adults, Teens and Kids",Baggett Elementary,2136,Old Norcross Rd.,Lawrenceville,30044,Gwinnett,"Adults, Teens, Kids","2136 Old Norcross Rd., Lawrenceville, GA 30044",street_address,rooftop,"2136 old norcross rd, lawrenceville, ga 30044, usa",7,-84.067507,33.950573
HealthMPowers,Child Care,Nana's Nook,1706,Scholar Drive,Lawrenceville,30044,Gwinnett,5 yrs >,"1706 Scholar Drive, Lawrenceville, GA 30044",premise,rooftop,"1706 scholar dr, lawrenceville, ga 30044, usa",7,-84.0253469,33.9160978
HealthMPowers,NA,Maria Gloria Sierra,1525,Watercreast Circle,Lawrenceville,30043,Gwinnett,NA,"1525 Watercreast Circle, Lawrenceville, GA 30043",premise,rooftop,"1525 watercrest cir, lawrenceville, ga 30043, usa",7,-84.016919,33.9807206
HealthMPowers,Child Care,Maria Gloria Sierra,1525,Watercreast Circle,Lawrenceville,30043,Gwinnett,< 5yrs,"1525 Watercreast Circle, Lawrenceville, GA 30043",premise,rooftop,"1525 watercrest cir, lawrenceville, ga 30043, usa",7,-84.016919,33.9807206
Open Hand Atlanta,NA,Phoenix High School,501,W. Pike St.,Lawrenceville,30046,Gwinnett,NA,"501 W. Pike St., Lawrenceville, GA 30046",premise,rooftop,"501 w pike st, lawrenceville, ga 30046, usa",7,-84.0047717,33.9634751
Open Hand Atlanta,NA,Phoenix High School,501,W. Pike St.,Lawrenceville,30046,Gwinnett,Adults and Teens,"501 W. Pike St., Lawrenceville, GA 30046",premise,rooftop,"501 w pike st, lawrenceville, ga 30046, usa",7,-84.0047717,33.9634751
HealthMPowers,NA,Buford Head Start Center/Pre-K,84,84 Maddox Road,Buford,30518,Gwinette,NA,"84 84 Maddox Road, Buford, GA 30518",street_address,rooftop,"84 maddox rd, buford, ga 30518, usa",7,-83.9982517,34.0983754
HealthMPowers,Child Care,Buford Head Start Center/Pre-K,84,Maddox Road,Buford,30518,Gwinette,5 yrs >,"84 Maddox Road, Buford, GA 30518",street_address,rooftop,"84 maddox rd, buford, ga 30518, usa",7,-83.9982517,34.0983754
HealthMPowers,Child Care,Sunshine House Hurricane Shoals,208,Hurricane Shoals Rd. NW,Lawrenceville,30046,Gwinnett,5 yrs >,"208 Hurricane Shoals Rd. NW, Lawrenceville, GA 30046",premise,rooftop,"208 hurricane shoals rd nw, lawrenceville, ga 30046, usa",7,-83.9980933,33.9680418
HealthMPowers,after school,Lawrenceville Club,382,Stone Mountain St,Lawrenceville,30045,Gwinnett County,18-May,"382 Stone Mountain St, Lawrenceville, GA 30045",street_address,rooftop,"382 stone mountain st, lawrenceville, ga 30046, usa",7,-83.9954309,33.9421278
Open Hand Atlanta,NA,Lawrenceville Health Center- WIC,455,455 Grayson Hwy Suite 300,Lawrenceville,30046,Gwinnett,NA,"455 455 Grayson Hwy Suite 300, Lawrenceville, GA 30046",subpremise,rooftop,"455 grayson hwy #300, lawrenceville, ga 30046, usa",7,-83.9816435,33.9395266
Open Hand Atlanta,WIC Clinic,Lawrenceville Health Center- WIC,455,455 Grayson Hwy Suite 300,Lawrenceville,30046,Gwinnett,Adults,"455 455 Grayson Hwy Suite 300, Lawrenceville, GA 30046",subpremise,rooftop,"455 grayson hwy #300, lawrenceville, ga 30046, usa",7,-83.9816435,33.9395266
DPH,NA,Next to Dublin City Hall and Market on Madison,100,"South Church Street, at corner of Church and Madison Street",Dublin,31021,Laurens,NA,"100 South Church Street, at corner of Church and Madison Street, Dublin, GA 31021",street_address,range_interpolated,"100 s church st, dublin, ga 31021, usa",12,-82.9084154,32.5383565
DPH,Community Garden & Pick It Try It,Next to Dublin City Hall and Market on Madison,100,"South Church Street, at corner of Church and Madison Street",Dublin,31021,Laurens,Familes and 18+; SNAP- eligible,"100 South Church Street, at corner of Church and Madison Street, Dublin, GA 31021",street_address,range_interpolated,"100 s church st, dublin, ga 31021, usa",12,-82.9084154,32.5383565
DPH,Community Garden & Pick It Try It,Community Garden enhancement on the school site,911,Martin Luther King Jr. Drive,Dublin,31021,Laurens,Familes and 18+; SNAP- eligible,"911 Martin Luther King Jr. Drive, Dublin, GA 31021",street_address,rooftop,"911 martin luther king jr dr, dublin, ga 31021, usa",12,-82.9025557,32.5254
DPH,NA,Community Garden enhancement on the school site,911,Martin Luther King Jr. Drive,Dublin,31021,Laurens,NA,"911 Martin Luther King Jr. Drive, Dublin, GA 31021",street_address,rooftop,"911 martin luther king jr dr, dublin, ga 31021, usa",12,-82.9025557,32.5254
UGA,NA,Williams Foods,1325,Bowens Mill Rd.,Douglas,31533,Coffee,NA,"1325 Bowens Mill Rd., Douglas, GA 31533",street_address,range_interpolated,"1325 bowens mill rd, douglas, ga 31533, usa",12,-82.8766524,31.5267534
UGA,NA,Williams Foods,1325,Bowens Mill Rd.,Douglas,31533,Coffee,NA,"1325 Bowens Mill Rd., Douglas, GA 31533",street_address,range_interpolated,"1325 bowens mill rd, douglas, ga 31533, usa",12,-82.8766524,31.5267534
UGA,NA,Wellness Center,200,Doctor's Drive,Douglas,31533,Coffee,NA,"200 Doctor's Drive, Douglas, GA 31533",street_address,range_interpolated,"200 doctors dr, douglas, ga 31533, usa",12,-82.8661735,31.511193
UGA,NA,Wellness Center,200,Doctor's Drive,Douglas,31533,Coffee,NA,"200 Doctor's Drive, Douglas, GA 31533",street_address,range_interpolated,"200 doctors dr, douglas, ga 31533, usa",12,-82.8661735,31.511193
UGA,NA,DFCS,1300,W. Baker Hwy,Douglas,31533,Coffee,NA,"1300 W. Baker Hwy, Douglas, GA 31533",street_address,rooftop,"1300 w baker hwy, douglas, ga 31533, usa",12,-82.8661554,31.4992727
UGA,NA,Coffee Co Service Center,1115,W. Baker Hwy,Douglas,31533,Coffee,NA,"1115 W. Baker Hwy, Douglas, GA 31533",street_address,rooftop,"1115 w baker hwy, douglas, ga 31533, usa",12,-82.8639328,31.501293
UGA,NA,Concerted Services-Douglas,1115,W. Baker Hwy.,Douglas,31533,Coffee,NA,"1115 W. Baker Hwy., Douglas, GA 31533",street_address,rooftop,"1115 w baker hwy, douglas, ga 31533, usa",12,-82.8639328,31.501293
UGA,NA,Concerted Services-Douglas,1115,W. Baker Hwy.,Douglas,31533,Coffee,NA,"1115 W. Baker Hwy., Douglas, GA 31533",street_address,rooftop,"1115 w baker hwy, douglas, ga 31533, usa",12,-82.8639328,31.501293
UGA,"Food Talk, Food Talk: Better U",Concerted Services-Douglas,1115,W. Baker Hwy.,Douglas,31533,Coffee,Adults 18+,"1115 W. Baker Hwy., Douglas, GA 31533",street_address,rooftop,"1115 w baker hwy, douglas, ga 31533, usa",12,-82.8639328,31.501293
UGA,NA,Coffee High School,159,Trojan Way,Douglas,31533,Coffee,NA,"159 Trojan Way, Douglas, GA 31533",street_address,rooftop,"159 trojan way, douglas, ga 31533, usa",12,-82.8611803,31.5522282
UGA,NA,Coffee High School,159,Trojan Way,Douglas,31533,Coffee,NA,"159 Trojan Way, Douglas, GA 31533",street_address,rooftop,"159 trojan way, douglas, ga 31533, usa",12,-82.8611803,31.5522282
UGA,"Food Talk, Food Talk: Better U",Coffee High School,159,Trojan Way,Douglas,31533,Coffee,Adults 18+,"159 Trojan Way, Douglas, GA 31533",street_address,rooftop,"159 trojan way, douglas, ga 31533, usa",12,-82.8611803,31.5522282
UGA,NA,Wiregrass,706,W. Baker Hwy.,Douglas,31533,Coffee,NA,"706 W. Baker Hwy., Douglas, GA 31533",street_address,rooftop,"706 w baker hwy, douglas, ga 31533, usa",12,-82.8583149,31.5009396
UGA,NA,Wiregrass GED,706,W. Baker HWY,Douglas,31533,Coffee,NA,"706 W. Baker HWY, Douglas, GA 31533",street_address,rooftop,"706 w baker hwy, douglas, ga 31533, usa",12,-82.8583149,31.5009396
UGA,NA,Wiregrass,706,W. Baker Hwy.,Douglas,31533,Coffee,NA,"706 W. Baker Hwy., Douglas, GA 31533",street_address,rooftop,"706 w baker hwy, douglas, ga 31533, usa",12,-82.8583149,31.5009396
UGA,"Food Talk, Food Talk: Better U",Wiregrass GED,706,W. Baker Hwy.,Douglas,31533,Coffee,Adults 18+,"706 W. Baker Hwy., Douglas, GA 31533",street_address,rooftop,"706 w baker hwy, douglas, ga 31533, usa",12,-82.8583149,31.5009396
UGA,NA,Douglas Senior Center,408,W. Ward Street,Douglas,31533,Coffee,NA,"408 W. Ward Street, Douglas, GA 31533",street_address,range_interpolated,"408 w ward st, douglas, ga 31533, usa",12,-82.8553204,31.5087674
UGA,"Food Talk, Food Talk: Better U",Douglas County Senior Center,408,W.Ward St.,Douglas,31533,Coffee,Adults 18+,"408 W.Ward St., Douglas, GA 31533",street_address,range_interpolated,"408 w ward st, douglas, ga 31533, usa",12,-82.8553204,31.5087674
UGA,NA,P and R - Gina's Class,200,S. Madison Ave. #C,Douglas,31533,Coffee,NA,"200 S. Madison Ave. #C, Douglas, GA 31533",premise,bing,"200 s madison ave, pasadena, ca 91101, usa",12,-82.84886,31.50722
UGA,"Food Talk, Food Talk: Better U",Magnolia Room,200,S. Madison Ave. #C,Douglas,31533,Coffee,Adults 18+,"200 S. Madison Ave. #C, Douglas, GA 31533",premise,rooftop,"200 s madison ave, pasadena, ca 91101, usa",12,-82.84886,31.50722
UGA,NA,Magnolia Room,200,S. Madison Ave. #C,Douglas,31533,Coffee,NA,"200 S. Madison Ave. #C, Douglas, GA 31533",premise,rooftop,"200 s madison ave, pasadena, ca 91101, usa",12,-82.84886,31.50722
UGA,NA,Coffee Co Housing Authority,312,E. Bryan Street,Douglas,31533,Coffee,NA,"312 E. Bryan Street, Douglas, GA 31533",street_address,range_interpolated,"312 e bryan st, douglas, ga 31533, usa",12,-82.8480584,31.5061262
UGA,NA,Douglas-Coffee County Farmers Curb Market,606,S. Gaskin Avenue,Douglas,31533,Coffee,NA,"606 S. Gaskin Avenue, Douglas, GA 31533",premise,rooftop,"606 gaskin ave s, douglas, ga 31533, usa",12,-82.8448954,31.502557
UGA,NA,Coffee Co Head Start,511,Pine Street,Douglas,31533,Coffee,NA,"511 Pine Street, Douglas, GA 31533",street_address,range_interpolated,"511 pine st, douglas, ga 31533, usa",12,-82.8445012,31.4938701
HealthMPowers,NA,Jeff Davis County Head Start,96,West Jefferson Street,Hazlehurst,31539,Jeff Davis,NA,"96 West Jefferson Street, Hazlehurst, GA 31539",street_address,rooftop,"96 w jefferson st, hazlehurst, ga 31539, usa",12,-82.610782,31.8610996
DPH,NA,Montgomery County Government,310,West Broad Street,Mount Vernon,30445,Montgomery,NA,"310 West Broad Street, Mount Vernon, GA 30445",premise,rooftop,"310 broad st, mt vernon, ga 30445, usa",12,-82.5977373,32.1759211
Open Hand Atlanta,NA,Montgomery County Library,215,Railroad Ave,Mt Vernon,30445,Montgomery,NA,"215 Railroad Ave, Mt Vernon, GA 30445",premise,rooftop,"215 s railroad ave, mt vernon, ga 30445, usa",12,-82.5953349,32.1763921
Open Hand Atlanta,NA,Jeff Davis County Library,189,E Jarman Street,Hazlehurst,31539,Jeff Davis,NA,"189 E Jarman Street, Hazlehurst, GA 31539",street_address,rooftop,"189 e jarman st, hazlehurst, ga 31539, usa",12,-82.5821112,31.8633698
Open Hand Atlanta,NA,Vidalia Toombs County Library,610,Jackson Street,Vidalia,30474,Toombs,NA,"610 Jackson Street, Vidalia, GA 30474",street_address,rooftop,"610 jackson st, vidalia, ga 30474, usa",12,-82.4146742,32.2113777
DPH,Worksite & Harvest of the Month,Savannah Luggage Works,3428,Hwy 297,Vidalia,30474,Toombs,18+; SNAP- eligible,"3428 Hwy 297, Vidalia, GA 30474",street_address,range_interpolated,"3428 ga-297, vidalia, ga 30474, usa",12,-82.4072467,32.2791993
DPH,NA,Savannah Luggage Works,3428,Hwy 297,Vidalia,30474,Toombs,NA,"3428 Hwy 297, Vidalia, GA 30474",street_address,range_interpolated,"3428 ga-297, vidalia, ga 30474, usa",12,-82.4072467,32.2791993
HealthMPowers,NA,Toombs County Head Start,178,Williams Ave,Lyons,30436,Toombs,NA,"178 Williams Ave, Lyons, GA 30436",street_address,range_interpolated,"178 williams ave, lyons, ga 30436, usa",12,-82.346217,32.2053326
Open Hand Atlanta,NA,Concerted Services Baxley,389,389 E Allen St,Baxley,31513,Appling,"Individuals, Families","389 389 E Allen St, Baxley, GA 31513",street_address,rooftop,"389 e allen st, baxley, ga 31513, usa",12,-82.3440989,31.7866783
Open Hand Atlanta,NA,Appling County Headstart,389,E Allen St,Baxley,31513,Appling,NA,"389 E Allen St, Baxley, GA 31513",street_address,rooftop,"389 e allen st, baxley, ga 31513, usa",12,-82.3440989,31.7866783
Open Hand Atlanta,NA,Concerted Services Baxley,389,E Allen St,Baxley,31513,Appling,NA,"389 E Allen St, Baxley, GA 31513",street_address,rooftop,"389 e allen st, baxley, ga 31513, usa",12,-82.3440989,31.7866783
HealthMPowers,NA,Appling County Head Start,389,E Allen Street,Baxley,31513,Appling,NA,"389 E Allen Street, Baxley, GA 31513",street_address,rooftop,"389 e allen st, baxley, ga 31513, usa",12,-82.3440989,31.7866783
Open Hand Atlanta,NA,Appling County Headstart,389,E Allen St,Baxley,31513,Appling,Adults 18+,"389 E Allen St, Baxley, GA 31513",street_address,rooftop,"389 e allen st, baxley, ga 31513, usa",12,-82.3440989,31.7866783
HealthMPowers,Middle School,Appling Middle School,2997,2997 Blackshear Hwy,Baxley,31513,Bibb,8-Jun,"2997 2997 Blackshear Hwy, Baxley, GA 31513",street_address,range_interpolated,"2997 blackshear hwy, baxley, ga 31513, usa",12,-82.3412696,31.722373
DPH,Worksite & Harvest of the Month,Thai Union Chicken of the Sea Canning & US Pet Co.,129,North Commerce Drive,Lyons,30436,Toombs,18+; SNAP- eligible,"129 North Commerce Drive, Lyons, GA 30436",establishment,rooftop,"129 commerce dr, lyons, ga 30436, usa",12,-82.3295301,32.2407254
DPH,NA,Thai Union Chicken of the Sea Canning & US Pet Co.,129,North Commerce Drive,Lyons,30436,Toombs,NA,"129 North Commerce Drive, Lyons, GA 30436",establishment,rooftop,"129 commerce dr, lyons, ga 30436, usa",12,-82.3295301,32.2407254
DPH,Worksite & Harvest of the Month,"Robin Builders, Inc",552,S. State Street,Lyons,30436,Toombs,18+; SNAP- eligible,"552 S. State Street, Lyons, GA 30436",street_address,rooftop,"552 s state st, lyons, ga 30436, usa",12,-82.3246791,32.1933609
DPH,NA,"Robin Builders, Inc",552,S. State Street,Lyons,30436,Toombs,NA,"552 S. State Street, Lyons, GA 30436",street_address,rooftop,"552 s state st, lyons, ga 30436, usa",12,-82.3246791,32.1933609
Open Hand Atlanta,NA,Nelle Brown Memorial Library,166,E Liberty St,Lyons,30436,Toombs,NA,"166 E Liberty St, Lyons, GA 30436",street_address,range_interpolated,"166 e liberty ave, lyons, ga 30436, usa",12,-82.3186793,32.203319
DPH,Community Garden & Pick It Try It,Heritage Gardens of Tattnall,146,West Brazell Street,Reidsville,30453,Tattnall,Familes and 18+; SNAP- eligible,"146 West Brazell Street, Reidsville, GA 30453",street_address,range_interpolated,"146 w brazell st, reidsville, ga 30453, usa",12,-82.1213443,32.0848049
DPH,NA,Heritage Gardens of Tattnall,146,West Brazell Street,Reidsville,30453,Tattnall,NA,"146 West Brazell Street, Reidsville, GA 30453",street_address,range_interpolated,"146 w brazell st, reidsville, ga 30453, usa",12,-82.1213443,32.0848049
Open Hand Atlanta,NA,Tattnall County Library,129,129 Tattnall St ,Reidville,30453,Tattnall,"Individuals, Families","129 129 Tattnall St , Reidville, GA 30453",street_address,rooftop,"129 tattnall st, reidsville, ga 30453, usa",12,-82.1207784,32.0829342
DPH,NA,Tattnall County Library,129,Tattnall Street,Reidsville,30453,Tattnall,NA,"129 Tattnall Street, Reidsville, GA 30453",street_address,rooftop,"129 tattnall st, reidsville, ga 30453, usa",12,-82.1207784,32.0829342
DPH,Worksite & Harvest of the Month,Tattnall County Library,129,Tattnall Street,Reidsville,30453,Tattnall,18+; SNAP- eligible,"129 Tattnall Street, Reidsville, GA 30453",street_address,rooftop,"129 tattnall st, reidsville, ga 30453, usa",12,-82.1207784,32.0829342
Open Hand Atlanta,NA,Concerted Services Senior Center,144,West Brazell St,Reidsville,30453,Tattnall,NA,"144 West Brazell St, Reidsville, GA 30453",street_address,range_interpolated,"144 w brazell st, reidsville, ga 30453, usa",12,-82.1198972,32.0853314
Open Hand Atlanta,NA,"Concerted Services Senior Center, Tattnall County ",144,144 West Brazell St,Reidsville,30453,Tattnall,"Adults 18+, Families","144 144 West Brazell St, Reidsville, GA 30453",street_address,range_interpolated,"144 w brazell st, reidsville, ga 30453, usa",12,-82.1198972,32.0853314
DPH,NA,Tattnall County Cooperative Extension,200,A. South Main Street,Reidsville,30453,Tattnall,NA,"200 A. South Main Street, Reidsville, GA 30453",premise,rooftop,"200 s main st, reidsville, ga 30453, usa",12,-82.1130671,32.0814347
DPH,Community Garden & Pick It Try It,Tattnall County Cooperative Extension,200,A. South Main Street,Reidsville,30453,Tattnall,Familes and 18+; SNAP- eligible,"200 A. South Main Street, Reidsville, GA 30453",premise,rooftop,"200 s main st, reidsville, ga 30453, usa",12,-82.1130671,32.0814347
HealthMPowers,NA,Sue Reynolds,3840,Wrightsboro Rd,Augusta,30909,Richmond,NA,"3840 Wrightsboro Rd, Augusta, GA 30909",street_address,rooftop,"3840 wrightsboro rd, augusta, ga 30909, usa",12,-82.109314,33.468654
HealthMPowers,Elem,Sue Reynolds,3840,Wrightsboro Rd,Augusta,30909,Richmond,K-5,"3840 Wrightsboro Rd, Augusta, GA 30909",street_address,rooftop,"3840 wrightsboro rd, augusta, ga 30909, usa",12,-82.109314,33.468654
Open Hand Atlanta,NA,MLK Collaborative Communuity Resource Complex,101,Jackson St NE,Atlanta,30312,Fulton,kids -elementary age,"101 Jackson St NE, Atlanta, GA 30312",premise,rooftop,"101 jackson st ne, atlanta, ga 30312, usa",5,-84.3740029,33.7567279
HealthMPowers,NA,Jamestown ES,3637,Hiers Blvd,Hephzibah,30815,Richmond,NA,"3637 Hiers Blvd, Hephzibah, GA 30815",street_address,range_interpolated,"3637 hiers blvd, hephzibah, ga 30815, usa",12,-82.0940008,33.391756
HealthMPowers,Elem,Jamestown ES,3637,Hiers Blvd,Hephzibah,30815,Richmond,K-5,"3637 Hiers Blvd, Hephzibah, GA 30815",street_address,range_interpolated,"3637 hiers blvd, hephzibah, ga 30815, usa",12,-82.0940008,33.391756
HealthMPowers,Elem,Barton Chapel,2329,Barton Chapel Rd,Augusta,30906,Richmond,K-5,"2329 Barton Chapel Rd, Augusta, GA 30906",street_address,rooftop,"2329 barton chapel rd, augusta, ga 30906, usa",12,-82.0889399,33.441647
HealthMPowers,NA,Barton Chapel ES,2329,Barton Chapel Rd,Augusta,30906,Richmond,NA,"2329 Barton Chapel Rd, Augusta, GA 30906",street_address,rooftop,"2329 barton chapel rd, augusta, ga 30906, usa",12,-82.0889399,33.441647
Open Hand Atlanta,NA,"Concerted Services Senior Center, Candler County",430,430 North Rountree St,Metter,30439,Candler,"Adults 18+, Families","430 430 North Rountree St, Metter, GA 30439",street_address,range_interpolated,"430 n rountree st, metter, ga 30439, usa",12,-82.0610067,32.4023391
Open Hand Atlanta,NA,Concerted Services Senior Center,430,North Roundtree Street,Metter,30439,Candler,NA,"430 North Roundtree Street, Metter, GA 30439",street_address,range_interpolated,"430 n rountree st, metter, ga 30439, usa",12,-82.0610067,32.4023391
HealthMPowers,Elem,Windsor Spring,2534,Windsor Spring Rd,Augusta,30906,Richmond,k-5,"2534 Windsor Spring Rd, Augusta, GA 30906",street_address,rooftop,"2534 windsor spring rd, augusta, ga 30906, usa",12,-82.058739,33.3928889
HealthMPowers,NA,Tobacco Road ES,2397,Tobacco Rd,Augusta,30906,Richmond,NA,"2397 Tobacco Rd, Augusta, GA 30906",street_address,rooftop,"2397 tobacco rd, augusta, ga 30906, usa",12,-82.056284,33.375493
HealthMPowers,Elem,Tobacco Road,2397,Tobacco Rd,Augusta,30906,Richmond,K-5,"2397 Tobacco Rd, Augusta, GA 30906",street_address,rooftop,"2397 tobacco rd, augusta, ga 30906, usa",12,-82.056284,33.375493
HealthMPowers,NA,Wheeless Road ES,2530,Wheeless Rd,Augusta,30906,Richmond,NA,"2530 Wheeless Rd, Augusta, GA 30906",street_address,rooftop,"2530 wheeless rd, augusta, ga 30906, usa",12,-82.0403173,33.4292471
HealthMPowers,NA,A. Brian Merry ES,415,Boy Scout Rd,Augusta,30909,Richmond,NA,"415 Boy Scout Rd, Augusta, GA 30909",street_address,rooftop,"415 boy scout rd, augusta, ga 30909, usa",12,-82.039631,33.49607
HealthMPowers,Elem,A. Brian Merry,415,Boy Scout Rd,Augusta,30909,Richmond,K-5,"415 Boy Scout Rd, Augusta, GA 30909",street_address,rooftop,"415 boy scout rd, augusta, ga 30909, usa",12,-82.039631,33.49607
